,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
78,google,"Sunnyvale, CA",Current Employee - Technical Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
79,google,"Mountain View, CA",Former Employee - Software Engineer,4.0,2.0,5.0,5.0,5.0,3.0,2,2018.0
80,google,"India, TX","Former Employee - Programmer, Security Engineer, Cloud Computing",5.0,5.0,4.0,5.0,4.0,5.0,0,2018.0
81,google,"San Francisco, CA",Current Employee - Software Engineer,2.0,3.0,2.0,2.0,4.0,4.0,9,2018.0
82,google,"Sunnyvale, CA",Current Employee - Administrative Business Partner,5.0,5.0,5.0,4.0,5.0,5.0,1,2018.0
83,google,"Egypt, AR",Current Employee - Medical Sales Representative,5.0,4.0,5.0,4.0,4.0,4.0,0,2018.0
84,google,"Los Angeles, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,4.0,1,2018.0
85,google,"New York, NY",Former Employee - Anonymous Employee,1.0,1.0,2.0,3.0,3.0,1.0,8,2018.0
86,google,"New York, NY",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0,2018.0
87,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
88,google,"New York, NY",Current Employee - Logistic Management,5.0,3.0,5.0,5.0,3.0,2.0,1,2018.0
89,google,"Carnegie, PA","Former Employee - Director of Developmental Sales &amp, Marketing",1.0,4.0,4.4,4.0,4.4,3.9,8,2018.0
90,google,"Seattle, WA",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
91,google,"Los Angeles, CA",Former Employee - Intern,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
92,google,"Boulder, CO",Current Employee - Software Engineer-II,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
93,google,"Mountain View, CA",Former Employee - Anonymous Employee,5.0,5.0,4.0,3.0,5.0,5.0,0,2018.0
94,google,"Los Angeles, CA",Former Employee - Worker,5.0,4.0,4.0,5.0,5.0,5.0,1,2018.0
95,google,"New York, NY",Current Employee - Product Manager,5.0,3.0,5.0,4.0,5.0,4.0,15,2018.0
96,google,"New York, NY",Former Employee - Copywriter,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
97,google,"Austin, TX",Current Employee - Account Executive,5.0,4.0,5.0,5.0,4.0,5.0,0,2018.0
98,google,"San Bruno, CA","Current Employee - Software Engineer, Tools and Infrastructures",5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
99,google,"San Francisco, CA",Current Employee - Intern - Hourly,3.0,4.0,4.0,5.0,3.0,4.0,0,2018.0
100,google,"Mountain View, CA",Former Employee - Google Engineering Practicum,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
