,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
28894,apple,"Phoenix, AZ",Current Employee - Mac Specialist (Apple Store),4.0,3.5,4.1,3.0,3.0,3.0,0,2009.0
28895,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,1.0,4.1,4.0,4.5,5.0,2,2009.0
28896,apple,"Los Angeles, CA",Current Employee - Concierge,5.0,4.5,4.1,4.5,5.0,5.0,0,2009.0
28897,apple,"Cupertino, CA",Former Employee - Engineer,2.0,4.5,4.1,1.5,4.5,3.0,2,2009.0
28898,apple,"Tucson, AZ",Current Employee - Mac Specialist (Apple Store),4.0,4.0,4.1,2.0,4.0,5.0,0,2009.0
28899,apple,"Cupertino, CA",Former Employee - SQA,2.0,1.0,4.1,3.0,4.0,5.0,24,2009.0
28900,apple,"Austin, TX",Current Employee - Data Analyst,3.0,4.0,4.1,3.0,2.0,1.5,7,2009.0
28901,apple,"Dallas, TX",Current Employee - Mac Specialist,3.0,4.5,4.1,2.0,1.0,3.0,0,2009.0
28902,apple,"Boulder, CO",Former Employee - Mac Specialist (Apple Store),4.0,2.5,4.1,4.0,4.0,4.0,1,2009.0
28903,apple,"Salem, NH",Former Employee - Assistant Store Manager,4.0,4.0,4.1,3.0,4.5,4.0,0,2009.0
28904,apple,"Cupertino, CA",Current Employee - Senior Computer Vision Specialist,5.0,5.0,4.1,5.0,4.0,5.0,3,2009.0
28905,apple,"Boston, MA",Former Employee - Inventory Control Specialist,4.0,3.0,4.1,3.5,3.5,4.0,0,2009.0
28906,apple,"Cupertino, CA",Current Employee - Anonymous Employee,3.0,3.0,4.1,3.5,3.0,3.0,3,2009.0
28907,apple,"Cupertino, CA",Current Employee - Senior Software Engineer,4.0,2.5,4.1,3.5,4.0,5.0,11,2009.0
28908,apple,"Cupertino, CA",Current Employee - Firmware Engineer,4.0,4.0,4.1,3.0,4.0,4.0,3,2009.0
28909,apple,"Northridge, CA",Current Employee - Mac Specialist (Apple Store),5.0,3.5,4.1,3.5,3.0,4.0,2,2009.0
28910,apple,"Cupertino, CA",Current Employee - Engineering Technician,4.0,4.0,4.1,4.0,4.0,3.0,5,2009.0
28911,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,4.5,4.1,4.0,4.5,2.5,1,2009.0
28912,apple,"San Jose, CA",Current Employee - Mac Specialist (Apple Store),5.0,5.0,4.1,4.0,3.5,5.0,0,2009.0
28913,apple,"Elk Grove, CA",Former Employee - TELESALES Representative,2.0,3.5,4.1,2.5,4.0,1.0,3,2009.0
28914,apple,"New York, NY",Current Employee - Product Specialist,4.0,3.0,4.1,3.0,3.0,4.0,1,2009.0
