,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,Company_code,Job_code,Locations_code
32,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.02078179119247897,0.8717948717948718
33,1.0,0.75,1.0,1.0,0.5,0.75,0.0,0.6000000000000001,0.43344878772884715,0.8717948717948718
34,0.5,0.0,0.5,1.0,1.0,0.5,0.0004775549188156638,0.6000000000000001,0.3310242454230579,0.517948717948718
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0057306590257879654,0.6000000000000001,0.12320633349826819,0.8717948717948718
36,1.0,0.75,1.0,1.0,1.0,0.75,0.0019102196752626551,0.6000000000000001,0.10489856506679862,0.517948717948718
37,0.75,0.5,0.75,1.0,1.0,0.75,0.0,0.6000000000000001,0.32855022266204853,0.517948717948718
38,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.02028698664027709,0.517948717948718
39,0.5,1.0,0.5,0.5,0.5,0.25,0.0,0.6000000000000001,0.09648688767936665,0.517948717948718
40,1.0,0.75,1.0,1.0,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.893122216724394,0.517948717948718
41,0.0,0.25,0.0,0.25,0.5,0.0,0.002387774594078319,0.6000000000000001,0.17862444334487879,0.517948717948718
42,1.0,1.0,1.0,1.0,1.0,1.0,0.0014326647564469914,0.6000000000000001,0.5779317169717962,0.517948717948718
43,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.607619990103909,0.517948717948718
44,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
45,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9856506679861455,0.517948717948718
46,0.75,1.0,0.75,0.5,0.75,0.75,0.0,0.6000000000000001,0.9480455220188027,0.517948717948718
47,0.75,0.5,0.75,0.5,0.75,0.5,0.0,0.6000000000000001,0.47847600197921825,0.7487179487179487
48,0.75,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.9158832261256804,0.41025641025641024
49,1.0,1.0,1.0,1.0,1.0,1.0,0.0009551098376313276,0.6000000000000001,0.02028698664027709,0.517948717948718
50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.6056407718951015,0.41025641025641024
51,0.75,0.75,0.75,1.0,0.75,0.75,0.0,0.6000000000000001,0.7486392874814449,0.7282051282051282
52,0.75,0.5,0.75,0.5,1.0,0.5,0.0,0.6000000000000001,0.04601682335477487,0.8717948717948718
53,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5348837209302326,0.8717948717948718
54,0.75,0.25,1.0,1.0,1.0,0.5,0.0009551098376313276,0.6000000000000001,0.9223156853043049,0.517948717948718
55,0.25,0.5,0.25,0.25,0.75,0.75,0.004297994269340974,0.6000000000000001,0.47847600197921825,0.7487179487179487
