,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
3412,google,"Mountain View, CA",Current Employee - Program Manager,4.0,4.0,4.0,4.0,4.0,4.0,3,2015.0
3414,google,"Mountain View, CA",Current Employee - Senior Hardware Engineer,5.0,4.0,4.0,5.0,5.0,4.0,0,2015.0
3418,google,"Mountain View, CA",Current Employee - Legal Assistant,5.0,5.0,5.0,5.0,5.0,5.0,0,2015.0
3428,google,"Mountain View, CA",Current Employee - Administrative Assistant,5.0,3.0,5.0,5.0,5.0,4.0,1,2015.0
3429,google,"Mountain View, CA",Current Employee - Financial Analyst,5.0,4.0,5.0,4.0,4.0,4.0,0,2015.0
3430,google,"San Diego, CA",Current Employee - Software Engineer,4.0,3.0,5.0,4.0,4.0,3.0,0,2015.0
3431,google,"Mountain View, CA",Current Employee - Strategic Partner Manager,5.0,3.0,5.0,5.0,3.0,4.0,0,2015.0
3434,google,"Mountain View, CA",Former Employee - Project Manager,5.0,5.0,5.0,4.0,5.0,5.0,1,2015.0
3437,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,5.0,5.0,3.0,4.0,4.0,0,2015.0
3438,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,4.0,5.0,5.0,4.0,0,2015.0
3440,google,"Mountain View, CA",Current Employee - Recruiter,5.0,4.0,5.0,4.0,5.0,5.0,0,2015.0
3445,google,"Mountain View, CA",Former Employee - Anonymous Employee,4.0,3.0,4.0,5.0,4.0,3.0,0,2015.0
3451,google,"Mountain View, CA",Current Employee - GTech Solutions Consultant,5.0,5.0,5.0,5.0,5.0,5.0,0,2015.0
3452,google,"Calif City, CA",Current Employee - Technical Program Manager,4.0,4.0,4.0,4.0,4.0,4.0,0,2015.0
3456,google,"San Bruno, CA",Current Employee - Interactive Designer,1.0,3.0,3.0,1.0,3.0,1.0,14,2015.0
3457,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,4.0,5.0,5.0,4.0,0,2015.0
3462,google,"Mountain View, CA",Current Employee - Product Marketing,4.0,2.0,3.0,3.0,5.0,2.0,1,2015.0
3465,google,"Mountain View, CA",Current Employee - Designer,5.0,5.0,5.0,5.0,5.0,5.0,1,2015.0
3468,google,"Mountain View, CA",Current Employee - GTM Strategy,5.0,5.0,5.0,4.0,4.0,4.0,0,2015.0
3470,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2015.0
3471,google,"Mountain View, CA",Former Employee - Financial Analyst,3.0,4.0,4.0,3.0,4.0,3.0,6,2015.0
3475,google,"Mountain View, CA",Current Employee - Software Engineer III,4.0,5.0,4.0,4.0,4.0,4.0,2,2015.0
3478,google,"Mountain View, CA",Current Employee - Program Manager,4.0,3.0,5.0,4.0,5.0,4.0,1,2015.0
3479,google,"Mountain View, CA",Current Employee - HRBP,3.0,1.0,3.0,4.0,4.0,2.0,1,2015.0
3480,google,"San Jose, CA",Former Employee - Store Operations Representative,3.0,4.0,2.0,1.0,1.0,1.0,0,2015.0
3482,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,5,2014.0
3483,google,"San Francisco, CA",Current Employee - Software Engineer,5.0,3.0,5.0,5.0,5.0,5.0,3,2014.0
3484,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,3.0,5.0,4.0,4.0,4.0,0,2014.0
3487,google,"Mountain View, CA","Former Employee - Children&#039,s Center Teacher",2.0,1.0,3.0,1.0,2.0,1.0,3,2015.0
3491,google,"Mountain View, CA",Current Employee - Software Engineer III,4.0,4.0,5.0,4.0,5.0,4.0,1,2015.0
3492,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,4.0,5.0,5.0,4.0,4.0,0,2014.0
3498,google,"Mountain View, CA",Current Employee - Senior Software Engineer,4.0,4.0,5.0,4.0,5.0,4.0,0,2015.0
3501,google,"San Francisco, CA",Current Employee - Operations Coordinator,4.0,5.0,5.0,5.0,5.0,3.0,0,2014.0
3503,google,"Mountain View, CA",Current Employee - Staff Software Engineer,5.0,3.0,5.0,5.0,4.0,4.0,1,2014.0
3504,google,"Mountain View, CA",Current Employee - Product Manager,4.0,3.0,3.0,2.0,5.0,2.0,3,2014.0
3507,google,"Mountain View, CA",Current Employee - Software Engineer III,5.0,5.0,5.0,4.0,4.0,5.0,0,2014.0
3508,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,3.0,4.0,5.0,4.0,4.0,1,2014.0
3513,google,"San Francisco, CA",Current Employee - Sales Manager,5.0,5.0,3.0,5.0,5.0,4.0,0,2014.0
3514,google,"Mountain View, CA",Former Employee - Software Engineer In Test III,5.0,5.0,5.0,3.0,5.0,3.0,10,2014.0
3517,google,"Mountain View, CA",Current Employee - Sales Operations Manager,3.0,5.0,5.0,2.0,4.0,3.0,0,2014.0
3518,google,"San Francisco, CA",Former Employee - Senior Account Manager,5.0,5.0,5.0,3.0,5.0,4.0,0,2014.0
3521,google,"Mountain View, CA",Current Employee - Product Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2014.0
3524,google,"Mountain View, CA",Former Employee - Software Engineer III,4.0,4.0,4.0,4.0,4.0,4.0,0,2014.0
3526,google,"Mountain View, CA","Former Employee - Google Earth, Acquired From Keyhole",3.0,1.0,3.0,3.0,4.0,2.0,1,2014.0
3531,google,"Mountain View, CA",Current Employee - Visual Designer,5.0,4.0,5.0,5.0,5.0,5.0,0,2014.0
3533,google,"Los Angeles, CA",Current Employee - Information Technology Supervisor,5.0,5.0,5.0,5.0,5.0,5.0,0,2014.0
3538,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,5.0,4.0,5.0,5.0,4.0,4,2014.0
3542,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0,2014.0
3543,google,"San Jose, CA",Former Employee - Software Engineer,4.0,3.0,5.0,5.0,4.0,4.0,1,2014.0
3544,google,"Mountain View, CA",Current Employee - Administrative Business Partner,5.0,4.0,5.0,5.0,4.0,5.0,1,2014.0
3547,google,"Mountain View, CA",Current Employee - Technical Program Manager,5.0,4.0,5.0,5.0,4.0,5.0,1,2014.0
