,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
21051,facebook,"San Francisco, CA",Current Employee - Business Analyst,5.0,4.0,5.0,5.0,5.0,5.0,7,2018.0
21052,facebook,"Seattle, WA",Current Employee - Product Designer,3.0,2.0,4.0,5.0,3.0,4.0,0,2018.0
21053,facebook,"Menlo Park, CA",Current Employee - Software Engineer,4.0,2.0,4.0,4.0,5.0,2.0,2,2018.0
21054,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,3.0,1.0,3.0,4.4,4.0,2.0,5,2018.0
21055,facebook,"Menlo Park, CA",Current Employee - Software Engineer,4.0,1.0,4.0,3.0,3.0,1.0,1,2018.0
21056,facebook,"New York, NY",Current Employee - Director,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
21057,facebook,"Menlo Park, CA",Current Employee - Data Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
21058,facebook,"Menlo Park, CA",Current Employee - Senior Software Engineer,4.0,4.0,5.0,4.0,4.0,4.0,2,2018.0
21059,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21060,facebook,"Chicago, IL",Current Employee - Technical Sourcer,5.0,2.0,5.0,5.0,5.0,4.0,0,2018.0
21061,facebook,"San Francisco, CA",Current Employee - Talent Scout-University Recruiter,5.0,5.0,5.0,5.0,4.0,5.0,0,2018.0
21062,facebook,"New York, NY",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21063,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,4.0,0,2018.0
21064,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,5.0,3.9,4.5,4.4,4.6,4.3,0,2018.0
21065,facebook,"Menlo Park, CA",Former Employee - Administrative Assistant,5.0,3.0,5.0,4.0,5.0,5.0,3,2018.0
21066,facebook,"San Francisco, CA",Current Employee - Recruiter,5.0,3.9,4.5,4.4,4.6,4.3,2,2018.0
21067,facebook,"Menlo Park, CA",Current Employee - Software Engineer,1.0,1.0,1.0,1.0,1.0,1.0,14,2018.0
21068,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,3.0,5.0,5.0,2.0,5.0,3.0,6,2018.0
21069,facebook,"Seattle, WA",Current Employee - Product Designer,5.0,4.0,4.0,4.0,5.0,4.0,0,2018.0
21070,facebook,"Menlo Park, CA",Current Employee - Strategic Sourcing Manager,1.0,3.0,3.0,1.0,4.0,3.0,9,2018.0
21071,facebook,"Menlo Park, CA",Current Employee - Helpdesk Specialist,5.0,4.0,5.0,4.0,3.0,4.0,4,2018.0
21072,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21073,facebook,"Ashburn, VA",Former Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
